id,ime,letnica_rojstva,drzava_rojstva,stevilo_iger_v_bazi,zacetek,konec,zmage,porazi,remiji,delez_zmag,kvaliteta
37844,P Gesos,1945,Greece,36,1969,2011,13,11,12,52.8,2292
52395,P Pambalos,1991,Greece,9,2001,2008,1,6,2,22.2,2007
52572,S Lemieux,1946,Canada,8,2001,2001,1,6,1,18.8,1698
52571,D Feoktistov,1987,Canada,23,2001,2004,8,8,7,50.0,2129
51501,Aleksandr Petrov,,,10,1994,2001,3,6,1,35.0,1908
52369,V Shevchenko,1957,Russia,6,1999,2001,1,3,2,33.3,2098
52343,A Botvinkov,1986,Russia,20,2001,2007,7,9,4,45.0,2248
49696,M Rogovoi,1981,Russia,33,1996,2001,9,16,8,39.4,2235
98407,V Shlykov,1987,Estonia,20,2001,2005,7,10,3,42.5,2245
10810,A A Najjar,1966,Lebanon,52,1988,2020,19,12,13,58.0,2256
52407,F Margaritis,1983,Greece,8,2000,2005,1,6,1,18.8,2122
123180,H Holis,1963,Greece,12,1996,2001,2,8,2,25.0,1404
52455,M Jafar Hj Timbang,,,7,2001,2001,3,4,0,42.9,
47163,C Liang,,,124,1996,2009,38,31,53,52.9,2489
52494,M Foudzi-Ahmad,,,4,2001,2001,1,2,1,37.5,
36859,C Rogers,1957,Australia,16,1988,2001,3,6,7,40.6,1998
52413,E Garnelli,,,2,2000,2001,,,,,
51689,M Petraki,1962,Greece,53,1990,2011,14,30,9,34.9,1998
155311,Pg Hj Jaafar Pg Omar Baki,1959,Brunei,17,1987,2016,4,11,2,29.4,1764
52480,M Ismail,,,5,2001,2001,3,2,0,60.0,
52427,E Pavlovskaia,1978,Sweden,45,2001,2008,14,15,16,48.9,2099
140259,T Tuominen,1979,Finland,82,2000,2015,27,37,18,43.9,2072
52495,H Shafruddin,1986,Malaysia,15,2001,2004,4,6,5,43.3,2098
52500,H Said Matnor,,,10,2001,2001,,,,,
52502,I Bajau,1966,Brunei,5,2001,2001,3,1,1,70.0,
108454,K B Harman,1947,United Kingdom,6,1962,2001,1,3,2,33.3,2133
94434,S V Sabaev,1963,Russia,42,1999,2014,6,10,26,45.2,2098
52235,P Kuijpers,1985,Netherlands,5,2001,2001,0,2,3,30.0,2066
52290,P Kalisvaart,1980,Netherlands,17,1996,2009,5,6,6,47.1,1985
52088,K Chorfi,1951,Morocco,40,1984,2005,7,25,8,27.5,2065
105485,G Cardelli,1969,Italy,117,1997,2013,31,25,61,52.6,2013
67321,J Valero de Dios,1983,Spain,1,2001,2001,,,,,2067
129293,D de Graaf,1964,Netherlands,50,2001,2019,13,28,9,35.0,2076
52211,W Degen,1955,Germany,14,1987,2001,6,6,2,50.0,2175
53692,K Iinattiniemi,1967,Finland,1,2001,2001,,,,,1997
29146,P Kucera,1964,Czech Republic,14,1979,2005,2,10,2,21.4,2205
14282,J Magem Badals,1967,Spain,232,1983,2017,56,58,96,49.5,2515
52853,R Zeier,1975,Germany,6,2001,2001,3,2,1,58.3,2116
52854,C Kuehneweg,,,6,2001,2001,,,,,
49079,P Anisimov,1986,Russia,212,1996,2019,44,33,77,53.6,2527
29591,P Popczynski,1978,Poland,11,1997,2001,3,5,3,40.9,2129
67651,H Pilaj,1981,Austria,92,1994,2017,26,35,31,45.1,2332
53841,H Rolletschek,1954,Austria,64,1987,2002,15,27,22,40.6,2135
15621,M Shahade,1946,United States of America,33,1969,2008,9,10,12,48.4,2239
57164,J Cates,1984,United States of America,3,2000,2001,,,,,
103424,M Medina Paz,1968,Ecuador,18,1990,2018,7,7,4,50.0,2368
116892,D M Rodriguez Pineda,1951,Spain,15,1978,2002,5,6,4,46.7,2386
32957,G Pirisi,1958,Hungary,35,1980,2006,8,14,13,41.4,2204
52947,J Zimny,1982,Poland,9,2001,2001,2,7,0,22.2,2031
54530,Zubov,,,342,1999,2019,90,31,100,63.3,2589
54534,S Zavgorodniy,1987,Ukraine,94,2000,2018,32,28,30,52.2,2418
52941,K Toma,1985,Poland,233,1999,2020,71,82,50,47.3,2289
50863,P Bazant,1982,Czech Republic,25,1996,2005,10,12,3,46.0,2273
17079,G Tunik,1953,Russia,247,1984,2019,70,56,121,52.8,2338
49676,J Geller,1986,Russia,339,2000,2019,80,75,109,50.9,2521
53113,J J Molina,,,1,2001,2001,,,,,
49154,D Feletar,1967,Croatia,78,1995,2011,30,13,31,61.5,2355
53754,Z Jusic,1972,Croatia,32,1994,2017,8,11,13,45.3,2254
53204,D Frolyanov,1986,Russia,479,2001,2020,87,83,145,50.6,2546
