indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1917318,G Antal,50407,Skembris,20808,1-0,10,2018,GRENKE Chess Open</a>,E36,"Nimzo-Indian, Classical"
1917612,O N Al Ali,127216,D Anton Guijarro,131813,0-1,15,2018,Dubai Open,D39,"Queen's Gambit Declined, Ragozin, Vienna Variation"
1955453,Y Shvayger,117989,Hoang Thanh Trang,86885,1-0,15,2018,European Championship (Women)</a>,A87,"Dutch, Leningrad, Main Variation"
1917942,O Al Hosani,159054,M Haddouche,56550,0-1,15,2018,Sharjah Masters</a>,A31,"English, Symmetrical, Benoni Formation"
1956010,Anna Marie Koubova,161778,L Hapala,141610,0-1,12,2018,European Championship (Women)</a>,D13,"Queen's Gambit Declined Slav, Exchange Variation"
1920627,D Sengupta,56773,Srinath Narayanan,95936,0-1,10,2018,Kolkata Open,A45,Queen's Pawn Game
1921500,A Shchekachev,67581,K Bolon,95766,0-1,11,2018,French Team Championship,A89,"Dutch, Leningrad, Main Variation with Nc6"
1920881,K Mafra,53764,Luciano Rhinow Michels,160865,1-0,15,2018,American Continental</a>,B18,"Caro-Kann, Classical"
1920858,Victor Reolon,160841,A Betaneli,22752,0-1,15,2018,American Continental</a>,B01,Scandinavian
1921158,Eliseo Maximiliano Palma Neira,157978,Daniel Sanches,160868,1-0,13,2018,American Continental</a>,D06,Queen's Gambit Declined
1921817,E Safarli,91832,E Relange,26318,1-0,15,2018,French Team Championship,C60,Ruy Lopez
1921880,Bacrot,29565,P Brochet,43889,1-0,6,2018,French Team Championship,A06,Reti Opening
1922079,Gilnei Guedes Ribeiro,160856,Luciano Rhinow Michels,160865,1-0,11,2018,American Continental</a>,D02,Queen's Pawn Game
1922198,Antonio Areco,160836,Ariel Mordetzki,160853,1-0,14,2018,American Continental</a>,D02,Queen's Pawn Game
1924012,J Gustafsson,49811,NN,12883,1-0,9,2018,banter blitz,B30,Sicilian
1935046,McShane,14287,A Muir,22621,1-0,14,2018,British Championship</a>,B31,"Sicilian, Rossolimo Variation"
1935041,C E Murphy,142586,Justin Tan,134352,0-1,15,2018,British Championship</a>,D30,Queen's Gambit Declined
1935081,D Zakarian,51362,P Tozer,125008,1-0,9,2018,British Championship</a>,A70,"Benoni, Classical with 7.Nf3"
1936632,S Tsolakidou,139244,Aleyla Hilario,161610,1-0,13,2018,World Junior Championship (Girls)</a>,E00,Queen's Pawn Game
1935955,Y de Block,159526,Byambasuren Garidmagnai,161577,0-1,14,2018,World Junior Championship</a>,A45,Queen's Pawn Game
1928144,Nikolina Koljevic,159435,Serray Jallow,161460,1-0,9,2018,Chess Olympiad (Women)</a>,C40,King's Knight Opening
